id,predicted_answer
56be4db0acb8001400a502ec,Denver Broncos
56be4db0acb8001400a502ed,Carolina Panthers
56be4db0acb8001400a502ee,"Santa Clara, California"
56be4db0acb8001400a502ef,Denver Broncos
56be4db0acb8001400a502f0,golden anniversary
56be8e613aeaaa14008c90d1,Arabic numerals 50
56be8e613aeaaa14008c90d2,"February 7, 2016"
56be8e613aeaaa14008c90d3,Denver Broncos
56bea9923aeaaa14008c91b9,Arabic numerals 50
56bea9923aeaaa14008c91ba,Arabic numerals 50
56bea9923aeaaa14008c91bb,"February 7, 2016"
56beace93aeaaa14008c91df,Denver Broncos
56beace93aeaaa14008c91e0,Levi's Stadium
56beace93aeaaa14008c91e1,"Santa Clara, California"
56beace93aeaaa14008c91e2,Super Bowl L
56beace93aeaaa14008c91e3,2015
56bf10f43aeaaa14008c94fd,2016
56bf10f43aeaaa14008c94fe,"Santa Clara, California"
56bf10f43aeaaa14008c94ff,Levi's Stadium
56bf10f43aeaaa14008c9500,50th
56bf10f43aeaaa14008c9501,"February 7, 2016"
56d20362e7d4791d009025e8,2016
56d20362e7d4791d009025e9,Denver Broncos
56d20362e7d4791d009025ea,Carolina Panthers
56d20362e7d4791d009025eb,Denver Broncos
56d600e31c85041400946eae,2015
56d600e31c85041400946eb0,Denver Broncos
56d600e31c85041400946eb1,"Santa Clara, California"
56d9895ddc89441400fdb50e,Super Bowl L
56d9895ddc89441400fdb510,Denver Broncos
56be4e1facb8001400a502f6,Cam Newton
56be4e1facb8001400a502f9,eight
56be4e1facb8001400a502fa,1995
56beaa4a3aeaaa14008c91c2,Arizona Cardinals 49–15
56beaa4a3aeaaa14008c91c3,New England Patriots
56bead5a3aeaaa14008c91e9,Arizona Cardinals
56bead5a3aeaaa14008c91ea,Arizona Cardinals
56bead5a3aeaaa14008c91eb,New England Patriots
56bead5a3aeaaa14008c91ec,"Dallas Cowboys, and Pittsburgh Steelers"
56bead5a3aeaaa14008c91ed,Cam Newton
56bf159b3aeaaa14008c9507,15–1 record
56bf159b3aeaaa14008c9508,Cam Newton
56bf159b3aeaaa14008c9509,12–4 record
56bf159b3aeaaa14008c950a,"Dallas Cowboys, and Pittsburgh Steelers"
56bf159b3aeaaa14008c950b,the New England Patriots
56d2045de7d4791d009025f3,Cam Newton
56d2045de7d4791d009025f4,Arizona Cardinals
56d2045de7d4791d009025f5,20–18
56d2045de7d4791d009025f6,Arizona Cardinals
56d6017d1c85041400946ebe,Cam Newton
56d6017d1c85041400946ec1,Arizona Cardinals
56d6017d1c85041400946ec2,Arizona Cardinals
